region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value,mining_value,moon_mining_value,loyalty_points,month
10000014,Catch,111954119864940.12,7594006026.9129,120452624804237.05,8450212001.013101,3116260597631.0,1299557152906.47,10471341068328.28,91275444590.42,912305383858.1472,2184021804.0035,0.0,202501
10000015,Venal,21334987425702.62,1105363369.4189,17765863009291.305,1358300060.7545,472543563977.0,271783602151.44,320342622536.9293,134073688779.72,216536527979.2663,65278178.4676,1001099297.0,202501
10000016,Lonetrek,287893005461909.75,29985721769.9466,279908482466472.2,26611927207.9679,620730867345.0,1483676292901.66,15422574374663.137,22394152135647.98,1103632525154.7869,2176125257.5623,2313269585.0,202501
10000018,The Spire,10424486860715.523,638083933.7155,10084689232541.164,825229458.3225,634979050710.0,230739968261.07,177770532174.4189,11904798935.46,874320440190.024,1123683749.2494,0.0,202501
10000020,Tash-Murkon,59588538619197.29,7142248641.353901,52605846740356.68,6045535997.6909,167162271446.0,243146434753.45,1381810473802.486,3080664757542.639,632872558403.5504,1172221174.6162,105441028.0,202501
10000021,Outer Passage,6554577182133.456,449184916.5153,5344025155802.313,553125613.2388,769727768342.0,154658908007.58,567610562630.7498,0.0,924239243800.0996,1170943014.4775,0.0,202501
10000022,Stain,13449309452004.72,888924131.5706999,12195862004049.406,949546916.1962,331353930437.0,404310906161.76,1341998942552.2285,210701676779.95,337404920692.25806,2001577447.3099,566524456.0,202501
10000023,Pure Blind,26847149803761.93,3603745356.3107,27543534239054.76,3666045079.1371,809966592518.0,964597418780.81,3010125158242.8364,998402599562.12,681403351809.6726,2003172339.4901,380153793.0,202501
10000025,Immensea,31893097294565.01,3515523846.816,40773414770673.5,4300210231.0524,4937794987274.0,1060189769505.86,18954572935006.41,16979218588.5,2431903839440.8022,4002085079.5759,0.0,202501
10000027,Etherium Reach,27249080122015.527,2019144033.4212,28439659916112.78,2134133421.5111,1435272739231.0,907856173457.54,3081590894434.0835,653125718529.4298,1418911072301.5815,5515864082.0586,0.0,202501
10000028,Molden Heath,27687137188839.824,3126642631.346,29074025817240.117,3346226852.638,141910977782.0,945622603424.16,679952849950.7,774562339675.13,342465963271.9812,489339283.506,356442065.0,202501
10000029,Geminate,90612475950945.31,3488831387.4249,91271304797488.77,3768876520.0445,1700132869140.0,930245244229.75,1842124624534.576,295529605205.21,553403254471.2931,2497742436.3174,0.0,202501
10000030,Heimatar,118246885766275.56,13497885884.7757,116285078090697.44,14273613774.5823,255839941732.0,1309330137215.74,2957723152228.87,8977613068904.162,813432940459.9513,800799599.035,183626130.0,202501
10000031,Impass,23605097802678.035,3405237508.5464,24793430640090.227,4704456851.8381,3224251649835.0,797584229316.48,2100225704381.7412,488712777210.39,2072759932944.4224,2250067516.3906,0.0,202501
10000032,Sinq Laison,243426586159619.2,21282445958.2751,236196112291163.0,21078512549.8119,331309678811.0,1531774132613.62,8098083740273.141,21899394370080.76,1128214908731.9329,1815953600.2385,177006017.0,202501
10000033,The Citadel,357307023794473.25,35979537467.182,349756972874585.94,33587603605.0294,340787570567.0,1705820008936.55,17967136511790.633,6354856101920.77,664839202240.0005,1084387468.6918,231844181.0,202501
10000034,The Kalevala Expanse,97185287038519.6,4930654970.1651,93380125440013.02,4836362074.7326,2498771654987.0,734351436536.19,3849745817986.962,7559707975.44,1023730404201.6152,1610834452.1664,0.0,202501
10000035,Deklein,8869429764248.395,1771327082.6472,6285878339599.092,339004797.2667,1402368536414.0,405038928592.62,8711287078992.437,283088359208.5901,727018476715.5178,718822893.685,0.0,202501
10000036,Devoid,83653141767655.61,7504750796.6383,82299761219547.27,7516576443.9421,51551591204.0,194043660918.73,404316933136.4833,779878983188.73,435144895018.1184,1800404470.1726,38818120.0,202501
10000037,Everyshore,33748999050789.28,5461621858.1665,31991393782214.62,4727948870.2624,130213916266.0,243235646198.04,1556748316517.4402,1809998017469.6,681642422112.0214,1269633466.5697,99424709.0,202501
10000038,The Bleak Lands,35595602477976.68,2963079388.0485,33452503045970.227,2756239302.49,30331999661.0,752173756902.42,5189691737402.905,208160775490.81,112215138271.45518,69753348.0069,180700799.0,202501
10000039,Esoteria,30660795080666.223,4151397389.6645,23850508488805.81,1526291541.3279,2078297365588.0,418275978246.7,2454381697919.71,688303359746.7,834642616361.1691,2216107040.3486,0.0,202501
10000040,Oasa,26628701693643.17,2369668386.3998003,26073254281577.445,2023252422.9056,769161816959.0,253330318549.4,8041623770923.811,2994321248.3,981778150093.2576,2929413907.887,0.0,202501
10000041,Syndicate,15661744434482.64,1137621556.509,12221399845449.314,1118202818.9915,144060682344.0,525929549742.43,1242342743221.7607,506874100318.6,394177712676.4207,1323895208.5771,197458434.0,202501
10000042,Metropolis,183952372701807.84,17833930586.998,176104444873879.7,17928926098.5134,1265531681700.0,1186373630096.42,3379634985998.263,12092326763864.293,1146667892321.559,1450306468.079,1540950329.0,202501
10000043,Domain,198903790911828.53,16861533971.3769,196710628433059.6,18168783105.792,327939695453.0,1180113089591.84,3878608378155.046,58314767508751.27,1416860100499.1245,3855129037.5377,149663584.0,202501
10000044,Solitude,37079609886250.38,2678040933.8045,32416867494956.12,2143269328.4035,46696235318.0,165837954197.89,302057772677.8203,349636793703.25,315118185849.47034,743653661.6474,8417402.0,202501
10000045,Tenal,5793391256776.046,405013337.9091,6282249439755.188,300153575.161,1491474916850.0,178399840122.4,2393047901848.5303,18268336564.5,482496012627.5034,446589029.8167,0.0,202501
10000046,Fade,3657089306960.856,312744596.9222,3286320189724.7705,434144173.1877,853958106148.0,152144373202.65,91052155515.1934,45294883799.65,269697763515.6444,467014387.2816,0.0,202501
10000047,Providence,14631275077006.98,1226197875.0112002,21315180110038.05,1337327292.7694,1031683522051.0,1237989985547.22,2151988439677.652,318957659404.76,597379410277.7931,1275514585.1842,0.0,202501
10000048,Placid,72662568118208.36,6719784220.2847,62653796907408.41,5096559309.3092,140226108243.0,1080121533784.09,1300873860730.4475,1878276540294.7495,482161347803.6388,799390778.8444,753264471.0,202501
10000049,Khanid,65665874373783.17,3778522293.4433,61719241594088.89,3687051832.4276,149895470884.0,205287349251.57,364512882922.6746,2330449440191.26,792306885681.1357,2145740146.0343,18983465.0,202501
10000050,Querious,43790652365915.14,3195268856.3412,39750815343477.76,2730371311.5495,3012474591575.0,754388853676.82,3458675112199.48,758546251912.6799,991732765108.136,3080618239.3624,0.0,202501
10000051,Cloud Ring,11431486566103.58,626520012.2195001,14240857193233.234,959192182.401,339741958890.0,337674667195.42,452631721920.3729,52321469308.14,548910767641.15375,827890583.857,0.0,202501
10000052,Kador,61218394078233.69,5031732387.0442,59545091252264.35,4668402847.8547,246925546448.0,234739113938.75,1017551123046.6132,745277220328.63,825428679722.8606,3092791229.0212,102919330.0,202501
10000053,Cobalt Edge,6669711854219.062,445742532.99,6354691242847.056,642985822.255,572013362987.0,230799288414.23,1358461282338.745,16229783303.0,585439686642.4601,1113550505.8798,0.0,202501
10000054,Aridia,18096770256180.684,1526796160.3595,16879894208679.557,1741524750.3795,66372451957.0,372644711173.71,654711867504.7494,1363770271595.4197,691054823047.0768,298760693.4677,150450365.0,202501
10000055,Branch,7501083574461.286,463945554.9147,5920718422052.509,320372553.0066,2814441903144.0,397562953211.97,2245947790430.1807,88844118586.73,496401445482.5112,1342800250.8783,0.0,202501
10000056,Feythabolis,9651414574688.602,434961856.4036,13334773653233.668,2666108237.0785,1285821191811.0,232080952191.49,42920999086.9539,6449584630.1,549753888524.69727,1114862287.1016,0.0,202501
10000057,Outer Ring,7616730378470.561,326043391.816,3572246529528.05,350379956.8252,58618421199.0,51613235324.53,375701084568.4701,561154672423.1599,134502974005.43216,93812001.868,9155008.0,202501
10000058,Fountain,21243654697418.44,1673510647.8689,35696039886339.1,2114653712.4101,5330609685015.0,1606168850763.3,18400597193160.586,10805975507051.78,2193691917040.1409,4678327938.1527,106836449.0,202501
10000059,Paragon Soul,16596435055608.428,1020319431.2391,17105416839118.885,1555916119.5735998,826188359452.0,167477942498.71,2254876150324.382,464398685580.88007,153720308473.51935,2475481424.2852,0.0,202501
10000060,Delve,28271748591095.062,2114263536.3948,22564276628167.06,2134098258.3095,2061243410559.0,1121180750647.73,5605940743703.955,5377134523603.211,504895422930.7743,1019179418.9099,784637328.0,202501
10000061,Tenerifis,94225777751578.28,11231627074.2701,116461295854322.8,8822056017.6302,2074424438581.0,950267176675.66,10209216436159.92,32321720786825.45,1131604430543.1277,2317374932.8441,0.0,202501
10000062,Omist,1785538793509.239,115721255.768,4708733331204.842,197038404.584,541146197222.0,273637845140.27,883588789522.8241,263967702833.61,247459703857.5541,221789329.4939,0.0,202501
10000063,Period Basis,8636484047811.968,802641924.3117,9678540016243.115,776126514.1662,3634743654501.0,567589999130.46,3104486465737.3267,799142879555.7401,254056213810.22327,441574828.7331,0.0,202501
10000064,Essence,231971486095501.1,24774780017.792,233467663694312.8,25393225089.7143,205793743743.0,634253032287.88,1856079898540.803,4410120761735.94,745244568661.3418,1463046854.0204,1118034329.0,202501
10000065,Kor-Azor,70493289626048.3,6090344426.7524,66596821515190.95,5574393424.1241,200597771451.0,342573525202.82,715035639428.359,1427942863200.12,287817903901.8673,282360323.0087,29880778.0,202501
10000066,Perrigen Falls,62278791675485.99,5460895225.8808,87155342412419.33,6547606875.3218,3026590608059.0,1391470510193.4,8843117858135.178,30778474905243.58,1414713647315.4622,1747351016.2718,0.0,202501
10000067,Genesis,204652268189641.6,22852313128.3364,207236542596251.97,22846459490.9817,218816023829.0,1248666320236.11,1626950032957.9358,2869087238814.93,631942304726.1924,1300859175.4259,195040961.0,202501
10000068,Verge Vendor,37413987042012.09,7430806919.8461,40062801674679.7,6747826715.4795,88146669970.0,317161303331.4,688452240729.9003,1752803108016.71,523047055228.93787,506921419.2976,67208716.0,202501
10000069,Black Rise,38394074413990.445,2641535164.3898,32039184287505.22,3654865790.7996,152128005318.0,1232466504525.96,3462891409749.673,668086870572.21,329471713121.28613,490848318.4066,56173824.0,202501
10000070,Pochven,40902719210900.67,854329352.4074,36111800613492.67,866186229.6335,526177707.0,2381662185887.23,27686855324.2728,352622383286.93994,507325796712.2353,26854247.0121,0.0,202501
10000001,Derelik,88943507138929.95,8994198178.287,88334063906842.56,9108048589.5857,70438114473.0,382943360545.32,551865780172.8248,1386508839750.2996,887629904481.5338,1197939664.9535,81851703.0,202502
10000002,The Forge,390865331027764.5,32674734110.2075,436251660037783.1,41521793957.0205,438675325722.0,2344878913210.88,23987933628474.6,687314471711740.0,1241310603937.016,2123692819.1154,595883757.0,202502
10000003,Vale of the Silent,35005333365281.062,2904903377.113,39619227540892.44,2429336386.8845,5609107901278.0,1854110152853.21,22786563414634.21,10192933779136.752,2885031451676.1445,5402275063.8395,0.0,202502
10000005,Detorid,9943698110078.889,667211668.4229,10501534934209.44,893125545.8330001,669837265998.0,334187303581.18,1623678343934.1226,491291073013.11,651045787335.2301,1018743930.9097,0.0,202502
10000006,Wicked Creek,6095700128549.741,345732652.8407,5509618796153.243,363067620.4686,330785734456.0,101962309309.64,3770472469.8377,1898449900.0,46476657690.01218,938175.6944,0.0,202502
10000007,Cache,7806732895370.472,614628110.2184,8972587947481.59,545995353.1656,1408728226150.0,453139504220.59,840447965762.8578,334682782185.99994,405252850636.7883,686024880.3587,0.0,202502
10000008,Scalding Pass,10602340166188.371,862941788.9226999,15471980658845.094,1815968789.7968,321648367030.0,456485658569.39,118014479662.4859,61566584195.25,205080600272.2964,79356089.6199,0.0,202502
10000009,Insmother,12153808208323.504,1060773560.2417,10667629571047.629,1039483862.1767,2858033325464.0,572890070553.47,545177842071.2445,111895577357.68,701729884256.689,1474537987.6547,0.0,202502
10000010,Tribute,26711170345119.863,2629340940.1806,24312521199880.062,1623509723.0218,2367764601711.0,720548364079.13,3933493566919.361,2983281080.0,517929160365.20526,1649586154.9509,0.0,202502
10000011,Great Wildlands,13140846098378.172,1338102214.2952,12887592709092.35,1368709512.6616,33749456755.0,243904699389.73,286667499260.9029,27389626288.300003,279505553433.53143,1423285253.8633,4389505.0,202502
10000012,Curse,26207141753768.504,2305111587.8656,19918566700694.09,1940500615.4654,102018455276.0,262799186027.8,253753646020.0555,161050032266.47,52674424860.62713,65460783.765,363484268.0,202502
10000013,Malpais,26233838020040.848,1716692067.248,18627879112680.945,1117737354.417,1253152080714.0,267025774862.02,5067308990045.26,381692414579.2001,1262226040663.2476,1451686135.3309,0.0,202502
10000014,Catch,88237347376268.92,6374355006.1714,97097257141223.3,5991329359.5197,2724422464441.0,1263555313713.79,8519835907073.917,115268202226.93,1163724723399.471,3317885860.6044,0.0,202502
10000015,Venal,21138870317523.91,1031041143.2507,17925514421844.63,1432873672.238,363205736839.0,320365808983.42,259199449142.7103,139013346021.77,445918277097.581,882501949.0569,705617347.0,202502
10000016,Lonetrek,263051010384977.03,29480890854.3006,254065136281564.4,24600903945.493706,572189759092.0,1618388377522.84,13884476230110.611,19677386322261.43,1079516091255.7312,1908692503.8623,2481583911.0,202502
10000018,The Spire,11626195050030.762,880184926.0475,12672090269955.266,955110097.1865,793271199681.0,163438233259.4,167177722419.5525,12703734395.16,854483485180.7146,1113130739.1679,0.0,202502
10000020,Tash-Murkon,50625065398887.32,6039039069.291901,46914689934133.086,4617355920.4274,159306496560.0,243268590884.93,1363545159118.1985,2498696928705.7,637244848162.8553,987299209.451,111835357.0,202502
10000021,Outer Passage,8884413773793.068,448975133.4182,11614224830844.24,558620613.3002,694074323335.0,186108226511.67,926222440181.701,273725000.0,904577019205.4994,676168357.9724,0.0,202502
10000022,Stain,10224491929088.172,794713867.5856,10046692838619.764,898704012.425,292648655610.0,349194155767.68,1408153023109.1897,232486982462.64005,297310956402.08984,965380965.8781,517817545.0,202502
10000023,Pure Blind,24868385306981.3,3072589860.815,29072799979329.934,3564533314.2692,984076691750.0,1063917015621.54,2539475558882.04,846785194578.3401,613727779098.1322,1597564471.6061,333869757.0,202502
10000025,Immensea,31124504224396.77,3262889355.6128,39191037099072.28,3527288602.0091,4026920475413.0,903554066043.91,18647831356022.195,18323197864.02,1888277206199.8867,3520357768.7697,0.0,202502
10000027,Etherium Reach,25148016142377.016,2314169980.8575,25825800892580.21,2476140175.445,1289778508895.0,678936299676.87,3676191098764.853,683453533902.9202,1296907869954.8457,2906642656.0357,0.0,202502
10000028,Molden Heath,29719135201743.297,3620755941.8692,23133724855114.33,2695085919.9957,130992108094.0,155938750542.67,692785647465.071,485929309328.1001,361075441952.1255,1474272807.7851,348416084.0,202502
10000029,Geminate,85742402744011.42,3647729102.0293,83413827865037.1,3741888972.7971,1790366322576.0,835138242842.48,1355299655605.3503,247940361678.09,444211812287.5652,1636829884.6386,0.0,202502
10000030,Heimatar,107923911444581.28,12475123930.9588,110396337037514.6,13128038431.8643,210533273403.0,1294885718085.51,1885712843525.775,8012540357341.102,781329455041.5116,822837574.9437,142518758.0,202502
10000031,Impass,24783356734306.703,3472190292.4772,26014502604394.117,4094207470.4907,2068123812648.0,467177596528.11,1877969069209.5996,253268224034.85004,1907926142342.2527,2795376918.2713,0.0,202502
10000032,Sinq Laison,215248316138142.62,18352657459.04,208943811749109.38,19064970579.0556,251869312512.0,1407772614159.41,8567465045355.766,17885477335570.117,997331729979.6646,1404071435.8211,132925554.0,202502
10000033,The Citadel,315506150372033.0,30649372944.7374,305228224756035.8,28351496979.5015,302602501614.0,1525182833199.83,18148514175779.05,3617251178746.76,638287056398.6709,1184035266.843,182425122.0,202502
10000034,The Kalevala Expanse,82540175167096.45,4800847030.2332,86841032109820.9,4532468781.0698,2604752577099.0,797141896708.31,4270152473742.121,30605354965.22,938870790428.8888,1998101858.9914,0.0,202502
10000035,Deklein,8110770322237.558,1637043829.7305,7688178243731.286,372625032.1175,1182011923315.0,432564647779.36,9591272671762.46,346322411600.1701,730103622648.1622,784270523.3671,0.0,202502
10000036,Devoid,61366920111642.95,6786840520.8169,60350412619507.78,6721338482.701099,37359391004.0,79474787070.32,458388981049.4346,678635092811.4098,436157693591.6464,1381455951.3494,29656702.0,202502
10000037,Everyshore,29094798949520.027,4110722864.3981,24660711847722.3,4074938149.9415,117508993901.0,696070952799.33,1472726313983.137,1471281198199.8997,574750982359.8837,1194508598.7654,83374563.0,202502
10000038,The Bleak Lands,21677197002401.355,2021942256.4383,23036942661117.84,1511995916.8893,30237078886.0,269710115991.84,6563578968295.618,274742050672.3101,135448677483.18549,229416974.1722,239987117.0,202502
10000039,Esoteria,28019510674865.72,3606192988.8827,15850998474253.549,1433467438.0637002,2114982379500.0,413204431830.17,2514487629692.3994,231249826803.09995,657815655289.6422,1313539839.5344,0.0,202502
10000040,Oasa,24812413100261.266,2074171798.1357,23366485176486.85,1842824029.4652,669794203833.0,220314605683.06,8882255607831.361,4695208070.0,954480556009.8944,1166116467.6804,0.0,202502
10000041,Syndicate,13244988148584.832,712527316.0362,11702702733563.428,990762170.5073,138903527702.0,483779597896.48,828908677645.3077,502127215342.0501,343099328458.8403,1098911704.2833,187290725.0,202502
10000042,Metropolis,153772514821591.56,15728617665.7698,143286007027004.5,16101280271.8407,1112569890123.0,1780877833719.97,3305915550959.2124,10933026567242.03,1060020336488.805,1220163290.6624,1421955989.0,202502
10000043,Domain,163159368724481.3,14456145021.2174,167295669857655.78,16477527775.4536,252973213984.0,703294474259.15,3594775374853.249,54775250804582.61,1356512739911.8506,3577278694.1697,148718970.0,202502
10000044,Solitude,31871493685760.96,1892574082.4785,30211552897779.137,1805524042.3455,36213207572.0,155122639516.69,286210415403.7114,361660041477.0401,333391711450.1968,568244397.4776,11294070.0,202502
10000045,Tenal,4993758936758.097,291773006.5385,5562745133243.105,209831763.4285,1457262735962.0,144481795234.04,2615458253752.793,37752199566.7,344195412730.736,605427075.4323,0.0,202502
10000046,Fade,3390222877040.922,149342322.07840002,3149449409999.497,311907251.3814,820498133604.0,206944185011.98,134060218823.0348,29807747857.660004,188367387222.2517,285086858.9156,0.0,202502
10000047,Providence,10790063623841.996,681973637.0019001,14875642387684.191,838715269.0806,895993737755.0,1046719412657.16,1783475587737.454,289931892237.58,573180664936.4408,809870053.6136,0.0,202502
10000048,Placid,58499826998499.96,4537393662.3845,60068551771953.625,4857009800.785,71744548741.0,970479890548.69,873581669407.4774,929489061005.08,457827495444.0275,659939180.8844,489420786.0,202502
10000049,Khanid,52204812850347.85,4275723507.9308,44038875985391.24,3511741944.6052,40301394465.0,172369446974.4,476596699919.5012,1417549282712.64,814965504919.5433,2167731230.3624,18221146.0,202502
10000050,Querious,40729883164060.86,3339060181.8124,39718657072057.14,3098328060.1549,2885922127570.0,707427488613.18,3369258370556.269,838542482892.7601,613925123835.742,3066162469.3312,0.0,202502
10000051,Cloud Ring,13302539563898.51,614799766.6584,10781198083955.53,726338187.3046,285146187953.0,494741136675.18,503649764446.6366,68731069978.2,362737083529.71576,1038989393.8903,0.0,202502
10000052,Kador,50546023279687.51,4096592973.672,41302034719658.2,3443060693.5177,151857477031.0,118155051633.89,906329067237.7446,677989465518.4403,779832939320.3059,2488660341.3885,97764318.0,202502
10000053,Cobalt Edge,5819067014583.839,445106028.9372,5338762597554.725,398954221.3612,400774510057.0,149537094731.79,1759794687943.0806,9614898636.0,636754579519.6812,617650979.5838,0.0,202502
10000054,Aridia,10632845003793.484,873398616.9633,9537804517818.41,990078446.3161,63558472634.0,260414479140.03,608916706392.5894,783167881294.99,837936771168.9291,528629693.5736,123525203.0,202502
10000055,Branch,6954315494811.713,459257762.2034,6349390449548.435,308694048.1505,3078691326775.0,423815900338.92,2398303917703.4707,103815676381.98,232760897661.368,554856910.6312,0.0,202502
10000056,Feythabolis,8605292682116.888,522907099.5417,17623753779270.625,3439333945.8407,1332854086467.0,279550354302.86,51735764031.7236,193159648771.58,490052172578.3645,649836548.3255,0.0,202502
10000057,Outer Ring,6465605501816.395,337504277.4281,2832068932406.43,325710565.5671,58797270636.0,43988892847.64,424345511823.0451,426515576915.5201,64713458618.154335,72068816.356,11180736.0,202502
10000058,Fountain,19958077940012.34,1566545709.762,39341430416829.96,2797675895.8185,4958268568280.0,1597369872506.96,18231092619570.902,10070793899005.81,2039852428520.48,3031970415.6767,99224885.0,202502
10000059,Paragon Soul,10019313012941.924,951978708.5887,9512026959990.855,615655931.7395,733684657266.0,159398789670.11,1781860212888.1748,441879135626.28,135072853794.27982,341000826.5225,0.0,202502
10000060,Delve,39510500643564.95,3970594785.8552,23555633268006.76,2076077272.7938,1698106649080.0,1699973742095.77,6269137778406.892,5314628622271.42,647861047164.3478,1647992343.2437,741112809.0,202502
10000061,Tenerifis,82104089290997.72,8834309844.4335,91720015566598.06,7801474196.411201,1663053329366.0,992534777811.29,8366370230358.2705,29444373933816.87,1037759797373.3744,1903555423.8165,0.0,202502
10000062,Omist,1651956402942.588,62875429.111,4035832632405.8174,205843718.2125,539701379515.0,222921182815.53,661049892393.3909,258925252815.76,274797966775.8509,758351891.3356,0.0,202502
10000063,Period Basis,8237246118116.346,430598634.412,7045084522313.767,493345422.03,2773357961509.0,557307507614.06,1760029062161.7258,638895362182.0498,221271012411.5957,254017901.1408,0.0,202502
10000064,Essence,181388770955871.84,19338060583.8601,179487531872088.06,19601065995.103703,165619283514.0,659894176683.81,1664469905378.2207,3630141727210.039,711168100600.7621,1503615776.1854,1132403880.0,202502
10000065,Kor-Azor,46811927409085.66,5117079622.9515,48022563918746.06,5071114976.1112,153835295468.0,153839938525.46,639078694783.5299,1578150784007.98,332842236741.9442,204085508.886,29946027.0,202502
10000066,Perrigen Falls,64519852633757.58,4970603720.9879,80193237089850.77,6098235040.8508005,2887668243632.0,1181068166198.57,11145275439100.072,30400415359711.777,1546206566906.9685,1814952167.5465,0.0,202502
10000067,Genesis,167273998653538.6,18387291815.2363,163342635726252.25,17358214025.3767,202153379275.0,930526103733.51,1557723982879.0193,2133227286304.08,470121289290.4696,710819303.8596,153715069.0,202502
10000068,Verge Vendor,31412245164808.02,4658333473.8516,29619536466063.426,3761361620.6627,75461038236.0,158010581397.43,694120941474.6658,1782047386969.87,502372742811.13416,530111319.7973,52395298.0,202502
10000069,Black Rise,35823534614717.1,2851415915.3118,32831173999670.79,3726536690.3232,47494471551.0,1212410593440.4,2651668694481.4014,566468363127.2101,268796806512.46637,416085953.403,51975694.0,202502
10000070,Pochven,37325044717590.336,653776058.4157,33069178251181.92,784597105.7372,1755331888.0,2784858954317.61,32657877599.4089,417158518957.31006,321535096109.8047,11111077.8708,0.0,202502
10000001,Derelik,93530681697650.44,9334843127.9134,87732161644271.0,9036933282.2372,74257742867.0,582361748552.28,799986772785.5892,1641270434552.4,1015652400747.2908,1603607103.6117,105982494.0,202503
10000002,The Forge,470780413476382.1,38521619577.4605,502294312168679.6,48086002960.1708,461705492852.0,3175299223222.52,26599124707624.035,717297643655033.0,1162495541772.61,2291919292.3475,620755868.0,202503
10000003,Vale of the Silent,44018262810655.01,3743849869.3735,47517310627632.58,2877523680.8098,5628767943132.0,2144041796005.64,24023906530812.41,11703450814234.682,3544326788022.6143,8020316548.7111,0.0,202503
10000005,Detorid,9866301029347.676,648947887.4987,11283261568480.0,842026797.9442,592527691606.0,405492225420.71,1430284921378.841,519371548247.62,993351084902.1316,768241049.1798,0.0,202503
10000006,Wicked Creek,11225298893042.717,1002289481.7877,11707526894485.414,1420814787.5737,286114235362.0,223309075727.11,23721662787.3299,31820866492.740005,51847263844.54691,0.0,0.0,202503
10000007,Cache,7065429693798.858,489588718.076,7380423440619.586,460525025.451,1499609440594.0,529188598385.57,964076208844.4594,397447362078.7,445062593441.4108,606021035.4198,0.0,202503
10000008,Scalding Pass,11687876398085.633,1384952856.9337,9310346594007.23,919675606.5854,295247322172.0,714208123822.82,85927976249.9792,19990452116.61,191604402261.7988,54110169.9851,0.0,202503
10000009,Insmother,9942390865352.137,680557264.2149,10413442915949.115,1322652272.0074,3143624174306.0,755969449108.39,589004701845.1313,140751290609.3,949706559454.354,1369700640.0664,0.0,202503
10000010,Tribute,30604728404721.164,2984803293.7136,31413129701060.52,2141878097.9713,2675609807315.0,772032420031.19,7187955753815.807,2917160490.0,635845304265.7451,1795839788.8285,0.0,202503
10000011,Great Wildlands,16547452515935.756,1291694055.9894,17794147556631.39,1863355436.9787,38586054632.0,333114169171.67,286098319246.8632,117367582712.68,262363610574.08337,789376145.0597,2919812.0,202503
10000012,Curse,26761337830042.89,2258489385.9927,27738196964074.18,2973800342.6952,129581331809.0,410505182508.24,316232862843.002,182252239389.7,34997441435.630936,8129653.7176,434313193.0,202503
10000013,Malpais,27362627513568.48,1949506398.4435,25480178078725.81,1258800642.2812,1225346422385.0,310612165865.83,6886506631614.95,352053065860.9601,1555376728692.322,1587342566.5736,0.0,202503
10000014,Catch,103607784705605.14,7270872982.3119,104518218697201.44,6975501681.5472,2647007027150.0,1266468962138.21,8882961565641.262,147160943451.26,1525733861369.708,4635339952.4419,0.0,202503
10000015,Venal,22561508248259.4,1050126538.5455,18034852185455.887,1274956329.7812,464753885702.0,402914986204.48,404596890359.2599,104799057871.01,225913374862.2409,114963157.5418,894129581.0,202503
10000016,Lonetrek,298154666476866.7,31561229484.536102,290193721957077.3,27254014995.7425,587730445543.0,2121518611644.66,16450084317642.156,20433064710750.777,960222342157.0386,1874969571.7978,3221287762.0,202503
